103946710778249216	How to Build Customer Loyalty by Creating Value for Customers: http://t.co/lsMfNMh	bad
438312279671848961	RT @ShannonZKiller: I liked a @YouTube video from @rocket2guns http://t.co/sN8I8Yik5A DayZ Devblog 24 February 2014	bad
285142981227458560	Iran Says Hackers Targeted Power Plant and Culture Ministry -   http://t.co/lrJT6IHg	bad
440621290534502400	Having your arm in an upright cast. Uncool at an auction, on a street full of taxi's. Cool when at aâ€¦ http://t.co/D8H9lIriPa	bad
94481580722098177	Quick and Easy Tips | Ways to Reduce Stress | | Control Type 2 Diabetes with Natural Remedies for .. http://bit.ly/okWehN #diabetes	bad
283911836334706688	It offers easy-to-follow instructions and free e-mail support, so that you will have more time to spend enjoy http://t.co/7sLbT0kI	bad
287692565472481281	Indianapolis relying on more than 2 dozen playoff newcomers to pull upset in ... -	bad
434072358312480769	RT @WIRED: Tiny, wearable camera snaps a shot every 30 seconds http://t.co/Qgr6aGgIF4 http://t.co/4pUpy8wnKu	bad
398065503257624576	@sandsra_ I wanna unfollow that btch. HAHAHA. If you know... :)	good
281190412952141825	Search intensifies for NYC shooter; video released -	bad
268485883752243200	RT @justinbieber: thank u Boston. focused on the positive. #30MillionBeliebers with me. Im never leaving u because u r always there 4 me ...	good
382546088139321344	Yeah, low dps, but I still have that nice shiny button saying "report user for harassment". See you &lt;3	good
282425450398097408	Channing Tatum Sexiest Dad Alive? Actor To Join The Ranks Of Hollywood's ... -   http://t.co/5x5kQVtr	bad
282995714760507392	Having more gold to complete more acheivements and boost your guild standing is closer than ever before with  http://t.co/dzOiMP3V	bad
279337070860845056	10  GOOGLE ANDROID 4.0 TABLET 4GB FLYTOUCH 10.1 VC882 EPAD LAPTOP WIFI CAMERA HDMI Support External 3G, F	bad
87610471733133313	@HelenRappy Short wth 3 days of convention(religious) and 8 days of vacation w/o computer.Leaves 20 days 2 be productive in biz.Double up!	good
278521793394921472	RT @aminafroo: That Kanye attitude aint for everyone, tryna do Kanye before you've made it... even Kanye wasn't Kanye, before he was Kanye	good
453244546760323072	@StereoLoveeOX They'll be on a bus.	good
425989608657387520	RT @twandroid: LG devrait généraliser les lecteurs d'empreintes digitales en 2014 : http://t.co/q2QSPVqAC7	bad
401441325108953089	@ATL_ChandaKing You're welcome Hun!	good
393477498765598720	@GypsyLullaby7 @lilbrowngrrl I'm legit having a fangirl moment! Whyyyyyy aren't you guys gonna be here! 😩😩😩	good
378633333669761024	Prepararsi psicologicamente, che domani sarà una giornata lunga per tutte le ragioni sbagliate.	good
407995412843618304	@GypsyLullaby7 #PaleandTasty http://t.co/O6PRyCUm4J	good
394930306140344320	@Sweetface35 Jealous assholes!!!!	good
115792338919493632	How to use social media as an effective PR strategy http://t.co/1E4MHw1U	bad
287602552420331520	Andy Reid reaches agreement with Chiefs -   http://t.co/Ty7yMFfE	bad
178897435794485250	Time waits on no one, make the most of every second	good
468754834674712576	RT @Brylane_Home: RT if you choose $100 Mystery Prize ï¼¡ Help us reach 15k...#bhomegiveaway..NoPurNec18+RulesApply@http://ow.ly/wWELL http://tâ€¦	bad
409351982294388736	2 Celebrity encounters in just 4 days. This is lifeeee. (!!!!!!!)	good
450461769450782721	Gostei de um vÃ­deo @YouTube http://t.co/YPHB9NKKeOÃ£o Urbana - Dezesseis	bad
425405798684975104	@DreamOfMelissa yay.. Making memories	good
266970690996023296	RT @infinityjelenax: #ThruYourEyes #GIRLFRIEND ASDFGHJKL NEED THE TEASER!!	good
466667435186454528	21% done with The Andromeda Strain, by Michael Crichton http://t.co/l1FUVUa8X2	good
128179172894982145	Wordpress Plugins | 5 Effective Plugins for Your Website http://t.co/kHkBPhAf..#blogboost #tlcclub	bad
468761313108578304	RT @CRMediaHub: Try It TuesdayÂ 5/20 http://t.co/5fQSjdMTsu	bad
405732753850630144	Gotta work at 4	good
165451324345950208	RT @baseball_hits Baseball tips for hitting the ball better. http://t.co/11IMbXo8 #baseball #tips	bad
4052501654	@bharatberlia I absolutely agree with you. We have become too self-centered. But yes we can do our bit to try and improve it.	good
279333458675916800	Lamaze Play  Grow Freddie the Firefly Take Along Toy - by TOMY  http://t.co/kcacLftc	bad
146616572176384000	RT @TheHappypreneur: The Celene Harrelson Daily is out! http://t.co/wlJVgKWP â–¸ Top stories today via @drjeffersnboggs @travelstour	bad
287691456590778369	TOMS Women's Canvas Slip-On - TOMS  http://t.co/GRZM4byf	bad
